time                 x                    y                    z                    total               
468.000000           26.119079            26.329520            22.740701            75.189300           
469.000000           26.182936            26.381814            22.793405            75.358154           
470.000000           26.246700            26.434036            22.846784            75.527520           
471.000000           26.310692            26.485205            22.899995            75.695892           
472.000000           26.374516            26.536263            22.953053            75.863832           
473.000000           26.437286            26.586359            23.005989            76.029634           
474.000000           26.501074            26.636218            23.058820            76.196112           
475.000000           26.565097            26.685815            23.112053            76.362964           
476.000000           26.628939            26.735992            23.165519            76.530451           
477.000000           26.692101            26.786852            23.218055            76.697008           
478.000000           26.755692            26.837871            23.270473            76.864036           
479.000000           26.818872            26.888441            23.322797            77.030110           
480.000000           26.881316            26.939253            23.374995            77.195564           
481.000000           26.943164            26.989024            23.426413            77.358601           
482.000000           27.004581            27.038523            23.478623            77.521727           
483.000000           27.067201            27.087587            23.531078            77.685866           
484.000000           27.129603            27.137163            23.582915            77.849682           
485.000000           27.192537            27.186613            23.635599            78.014749           
486.000000           27.255806            27.236459            23.688967            78.181232           
487.000000           27.319524            27.286007            23.742314            78.347844           
488.000000           27.382785            27.335066            23.794628            78.512478           
489.000000           27.446208            27.383645            23.847352            78.677205           
490.000000           27.509079            27.432414            23.899350            78.840843           
491.000000           27.572367            27.481020            23.951289            79.004676           
492.000000           27.636251            27.529772            24.003242            79.169265           
493.000000           27.699605            27.578007            24.054505            79.332116           
494.000000           27.762586            27.626735            24.105190            79.494511           
495.000000           27.824790            27.675317            24.155839            79.655947           
496.000000           27.888529            27.723437            24.207239            79.819205           
497.000000           27.953548            27.771785            24.259368            79.984701           
498.000000           28.018188            27.820685            24.312363            80.151236           
499.000000           28.082873            27.870325            24.365227            80.318426           
500.000000           28.147668            27.919527            24.418308            80.485502           
501.000000           28.212860            27.968737            24.471117            80.652714           
502.000000           28.277069            28.018230            24.524509            80.819807           
503.000000           28.340348            28.068218            24.577306            80.985872           
504.000000           28.404726            28.119234            24.629108            81.153068           
505.000000           28.469440            28.170635            24.681181            81.321257           
506.000000           28.532604            28.221528            24.733603            81.487735           
507.000000           28.595046            28.272840            24.785121            81.653008           
508.000000           28.658819            28.324446            24.836600            81.819865           
509.000000           28.722555            28.375584            24.888942            81.987081           
510.000000           28.786916            28.427264            24.939917            82.154096           
511.000000           28.850980            28.477966            24.989873            82.318819           
512.000000           28.915647            28.528147            25.040199            82.483993           
513.000000           28.979618            28.577549            25.090199            82.647366           
514.000000           29.043560            28.627772            25.139268            82.810601           
515.000000           29.107208            28.677670            25.189394            82.974272           
516.000000           29.170556            28.728150            25.239400            83.138107           
517.000000           29.233071            28.777707            25.289150            83.299927           
518.000000           29.294584            28.828289            25.338761            83.461634           
519.000000           29.356536            28.878985            25.388139            83.623661           
520.000000           29.419628            28.930873            25.436976            83.787477           
521.000000           29.482908            28.983024            25.486544            83.952476           
522.000000           29.546773            29.034599            25.535966            84.117338           
523.000000           29.610793            29.087314            25.585260            84.283367           
524.000000           29.675457            29.140944            25.636925            84.453327           
525.000000           29.740397            29.193426            25.688466            84.622289           
526.000000           29.805653            29.246005            25.740663            84.792320           
527.000000           29.869493            29.298390            25.793099            84.960981           
528.000000           29.932179            29.351193            25.843662            85.127034           
529.000000           29.995625            29.403467            25.894185            85.293277           
530.000000           30.058675            29.455750            25.945357            85.459782           
531.000000           30.121843            29.507947            25.996207            85.625996           
532.000000           30.185318            29.560550            26.046791            85.792658           
533.000000           30.247495            29.613726            26.096627            85.957848           
